Underlying Name ,CGN Power Co., Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
02/08/2018,19.9197,12.6216,12.9930,18.3135,19.8592
01/08/2018,19.6690,11.6536,13.9474,18.2450,19.7916
31/07/2018,20.3483,9.8965,17.7798,18.1646,19.7408
30/07/2018,20.3234,9.9347,17.7048,18.2272,19.7889
27/07/2018,21.8446,9.9044,17.7927,18.2108,19.8321
26/07/2018,21.1002,9.3920,17.5000,18.2008,19.7767
25/07/2018,22.1233,7.6041,17.3566,18.3562,19.7262
24/07/2018,22.5441,11.1285,17.2550,18.4194,20.0823
23/07/2018,21.4560,10.6059,17.0245,18.2909,20.0537
20/07/2018,22.6813,12.1405,19.6355,18.7412,20.3153
19/07/2018,22.1094,11.7051,19.4667,18.9242,20.3443
18/07/2018,22.8070,11.5551,19.8147,19.1070,20.9037
17/07/2018,20.9348,11.0966,19.9969,21.5716,20.8838
16/07/2018,23.1727,12.4885,19.9969,21.6623,20.9518
13/07/2018,24.1596,14.7273,20.9373,21.8578,21.0084
12/07/2018,24.5743,17.9897,21.7232,22.1691,20.9948
11/07/2018,25.5386,18.2625,21.5823,22.1665,20.9870
10/07/2018,25.2921,16.7917,21.3814,21.9996,20.8644
09/07/2018,26.0407,16.2016,22.1587,22.2798,20.8677
06/07/2018,26.6540,15.3715,21.9569,22.2070,20.8004
05/07/2018,26.8823,15.3715,21.9569,22.2269,20.9471
04/07/2018,27.9036,18.6778,22.7781,22.3214,20.9471
03/07/2018,26.7288,27.1727,22.7810,22.3454,20.9636
29/06/2018,27.1095,26.2593,22.5696,22.4611,20.9138
28/06/2018,25.5375,23.9770,21.9482,22.3296,20.8274
27/06/2018,27.7559,22.8318,22.2410,21.9772,20.6217
26/06/2018,27.4773,22.6910,22.1982,21.9772,21.3699
25/06/2018,28.2069,22.6910,22.2687,22.1845,21.3699
22/06/2018,26.3012,22.8043,22.4613,22.5466,21.3698
21/06/2018,26.6143,27.6261,22.4593,22.6160,22.5177
20/06/2018,26.8376,27.3376,22.6609,22.6160,22.5653
19/06/2018,27.1837,24.6300,21.9071,22.2483,22.3695
15/06/2018,22.6160,20.2168,18.8315,20.7770,21.6356
14/06/2018,21.7195,20.2168,19.0303,20.8771,21.6462
13/06/2018,22.0042,23.1180,18.8807,20.8789,21.6413
12/06/2018,21.9100,25.3091,19.0284,20.8750,21.6764
11/06/2018,22.0532,25.3081,19.3872,20.8759,21.7231
08/06/2018,22.0738,25.2982,19.6240,21.4387,21.8490
07/06/2018,20.7330,27.5915,19.3995,21.4379,21.9197
06/06/2018,20.0056,20.0782,16.6052,20.4006,21.0404
05/06/2018,21.1759,19.8129,17.2239,20.4791,21.0762
04/06/2018,24.1322,21.2134,17.7671,21.1799,21.0405
01/06/2018,25.6810,21.2693,22.2455,21.1164,21.0036
31/05/2018,27.9355,21.9751,22.5410,21.1899,21.0680
30/05/2018,28.2141,19.7402,22.5766,20.9945,20.9064
29/05/2018,26.2534,17.7002,22.2578,20.4224,20.6844
28/05/2018,27.0569,17.1754,22.1958,20.4257,20.6803
25/05/2018,24.4940,15.5672,21.9639,20.3341,20.6721
24/05/2018,23.9436,14.1884,22.0513,20.1127,20.4771
23/05/2018,24.0424,14.9454,22.1439,20.1011,20.4660
21/05/2018,23.1671,15.0443,22.2296,20.2906,20.4843
18/05/2018,21.6978,12.9916,21.8165,19.9773,20.2587
17/05/2018,21.2830,13.0178,21.7497,19.9593,20.2561
16/05/2018,22.2475,13.0990,21.7838,19.8582,20.2595
15/05/2018,23.5953,13.6266,22.0825,19.9336,20.3916
14/05/2018,20.5302,11.2843,21.6548,19.7028,20.1783
11/05/2018,22.3300,12.8752,21.7670,21.0268,20.2253
10/05/2018,23.6289,14.2182,22.0805,21.0110,20.6122
09/05/2018,22.5537,13.5019,22.8723,20.9598,20.7974
08/05/2018,22.3407,16.0279,23.0344,22.7263,20.7811
