Underlying Name ,Geely Automobile Holdings Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
06/08/2018,43.4567,37.9053,37.0933,36.6182,38.7693
03/08/2018,41.6664,37.7239,36.8287,36.4083,38.7308
02/08/2018,40.2577,35.0734,35.9521,37.5119,39.5459
01/08/2018,38.7893,34.3343,35.5650,37.8795,39.3358
31/07/2018,39.6265,33.4739,37.8681,38.2210,39.4723
30/07/2018,40.9064,32.7153,37.7564,38.2191,39.4980
27/07/2018,40.6308,31.4270,37.3183,38.4272,39.2806
26/07/2018,37.7728,29.9395,36.8396,37.9789,38.9860
25/07/2018,37.1488,30.6494,36.2263,37.3996,38.6644
24/07/2018,37.5310,30.9859,37.2984,37.5773,38.9847
23/07/2018,38.4644,29.7852,36.4531,37.4658,39.6203
20/07/2018,38.6547,34.7669,38.4253,37.6263,39.6655
19/07/2018,38.7660,35.7537,38.4246,38.0064,39.6673
18/07/2018,37.1728,29.5041,37.4024,37.2654,39.2540
17/07/2018,38.8010,36.8897,40.0484,37.2794,39.4313
16/07/2018,36.3453,37.3502,39.8977,37.4935,39.4870
13/07/2018,34.9825,38.7814,39.9313,37.7686,39.4890
12/07/2018,35.2572,38.7314,40.4277,37.8907,39.6328
11/07/2018,36.8890,45.0130,39.2934,37.3589,39.3618
10/07/2018,34.6077,45.1032,40.1795,37.2341,40.7668
09/07/2018,37.0734,43.8212,40.1124,37.1259,40.6857
06/07/2018,38.5152,37.6018,38.6240,37.0388,40.2813
05/07/2018,42.7631,34.0852,38.3843,38.4460,40.3505
04/07/2018,41.8517,38.9284,38.9931,38.4490,40.5590
03/07/2018,38.4344,41.9374,37.6232,38.3601,40.0765
29/06/2018,36.6178,41.9388,37.4040,38.4268,39.9822
28/06/2018,37.4435,36.2473,36.4861,38.0656,39.8429
27/06/2018,37.2272,33.8239,36.8239,39.8683,40.1233
26/06/2018,31.3118,30.7541,34.3209,38.5260,39.2590
25/06/2018,31.0463,37.7755,35.8982,38.3616,39.1008
22/06/2018,30.6220,37.7935,35.5813,39.3103,39.1259
21/06/2018,32.0562,43.9192,35.5200,39.4839,41.9272
20/06/2018,31.2298,42.6259,38.0075,41.2142,41.7938
19/06/2018,32.2744,40.9375,39.4980,41.2610,41.6801
15/06/2018,28.3062,38.0888,37.0474,40.1153,40.8913
14/06/2018,28.6660,37.3665,36.9447,40.1070,40.9552
13/06/2018,28.3843,35.2647,37.3202,39.9990,40.8610
12/06/2018,29.7117,36.2634,36.4688,39.8051,40.7705
11/06/2018,29.9674,36.7081,36.4774,39.7978,40.8098
08/06/2018,30.6332,36.6422,36.7053,39.8405,40.5920
07/06/2018,30.3460,37.3326,36.8246,40.8304,40.5177
06/06/2018,31.0741,33.9272,35.8945,40.2572,41.2728
05/06/2018,31.0215,36.3517,36.9513,40.2510,41.3132
04/06/2018,31.5000,37.2859,36.9494,40.2664,41.3718
01/06/2018,31.7349,28.5453,34.6989,39.4372,41.2886
31/05/2018,33.4739,28.5622,35.4786,39.6129,41.4192
30/05/2018,33.6680,28.2619,36.1291,39.6048,41.4250
29/05/2018,32.3976,28.0015,35.7338,39.5288,41.5253
28/05/2018,31.7278,29.0231,35.7207,39.6345,41.7935
25/05/2018,31.1872,31.6484,34.7172,41.3587,41.5299
24/05/2018,31.5504,29.7613,34.4709,41.1664,41.4164
23/05/2018,33.1357,29.8134,35.6759,41.1663,41.6387
21/05/2018,33.0321,36.8031,37.9820,41.1203,41.5032
18/05/2018,31.8623,40.7821,37.7172,41.2636,41.3853
17/05/2018,31.1971,44.4819,39.3351,41.2780,41.6925
16/05/2018,33.0817,44.5226,39.6068,41.2606,42.1803
15/05/2018,32.9737,45.8283,39.6068,41.3462,42.2202
14/05/2018,33.7906,41.2670,42.8002,41.3319,42.1607
11/05/2018,32.9162,41.6483,42.7689,41.4957,42.4551
10/05/2018,31.6448,43.0416,41.2949,40.8196,41.9813
