Underlying Name ,AAC Technologies Holdings Inc.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
15/08/2018,54.9703,44.2491,35.1242,45.4807,45.3098
14/08/2018,58.0194,44.3279,36.1599,45.3795,46.2021
13/08/2018,45.7316,29.6504,30.5005,43.0731,44.7713
10/08/2018,43.2183,27.6859,35.7946,43.1456,44.6070
09/08/2018,41.2516,25.0318,35.5693,43.9102,45.5758
08/08/2018,42.1545,24.7986,41.6406,44.9282,46.3443
07/08/2018,43.2416,29.8113,42.6615,45.1366,46.3266
06/08/2018,45.0483,28.1222,42.2946,45.1311,47.4826
03/08/2018,45.6457,28.9897,42.1648,45.0636,47.5827
02/08/2018,47.9826,29.1482,42.1749,46.0546,47.8339
01/08/2018,45.2874,25.3001,41.5067,45.6526,48.2844
31/07/2018,45.1295,30.7572,42.0635,45.6000,48.2229
30/07/2018,41.9138,31.4128,42.2496,45.5990,48.2227
27/07/2018,38.9840,34.0202,42.4068,45.5997,48.2238
26/07/2018,39.1174,36.8346,43.3927,45.6075,48.3310
25/07/2018,40.7825,37.2892,43.3933,45.5911,48.3290
24/07/2018,40.4245,32.3026,42.1651,45.6355,48.0235
23/07/2018,41.4130,31.8534,42.5963,45.6662,49.0717
20/07/2018,40.9178,32.4227,42.4539,45.4937,49.0684
19/07/2018,40.0755,32.1986,51.1217,45.5392,49.1721
18/07/2018,40.8147,32.6230,51.2586,47.8643,49.4420
17/07/2018,40.7538,31.2090,50.7206,47.1706,49.0859
16/07/2018,39.2572,31.5580,50.5821,47.1580,49.0135
13/07/2018,39.3439,44.5044,50.3057,47.8051,48.9316
12/07/2018,38.1624,44.2714,49.8060,47.5338,48.7152
11/07/2018,39.9353,59.8433,50.5047,47.4704,48.6806
10/07/2018,40.2803,62.0871,51.4380,47.4720,48.7690
09/07/2018,41.9649,62.3696,51.8881,47.6039,48.7680
06/07/2018,42.3206,61.8129,51.9090,49.7135,48.7416
05/07/2018,44.0118,61.4834,52.6314,49.7364,48.7521
04/07/2018,45.5914,60.6939,54.3324,49.8395,48.8953
03/07/2018,43.3987,60.1133,53.2556,50.6901,48.9444
29/06/2018,40.4413,60.3399,52.9827,50.6307,48.8349
28/06/2018,41.8998,45.6181,50.0464,48.6558,47.9448
27/06/2018,43.4973,41.7209,51.4230,49.8558,47.7405
26/06/2018,38.0130,29.1085,48.7086,48.8585,46.1441
25/06/2018,37.1206,28.3149,48.0408,48.3915,46.2145
22/06/2018,36.5024,30.1250,48.0365,50.1978,46.1876
21/06/2018,37.2719,29.1699,48.0227,50.3826,47.5136
20/06/2018,37.2142,59.2103,49.4115,50.7283,48.0274
19/06/2018,38.5491,59.4462,49.4861,51.6587,49.5370
15/06/2018,34.4575,58.2238,48.7258,51.3292,49.2385
14/06/2018,35.0540,58.9880,48.7028,51.2708,49.2954
13/06/2018,36.4572,57.9782,48.3930,51.1884,49.2825
12/06/2018,35.0229,53.7513,46.5699,50.8343,49.1822
11/06/2018,37.1517,53.9898,46.4423,50.8246,49.2882
08/06/2018,36.7390,54.9898,47.8502,50.8358,49.3174
07/06/2018,37.2888,53.7964,46.9059,51.8825,49.0775
06/06/2018,37.9575,52.9725,46.8634,51.9722,49.0729
05/06/2018,32.5944,37.7397,39.5542,48.5797,46.6933
04/06/2018,33.7805,43.7472,45.0507,48.9379,46.6782
01/06/2018,33.4102,42.2771,44.1677,48.6493,46.9222
31/05/2018,35.4277,41.1680,44.2831,48.6073,46.8721
30/05/2018,39.5184,42.3448,45.8821,48.6267,47.1945
29/05/2018,38.1605,50.2095,45.9503,48.5854,47.2233
28/05/2018,36.6940,54.8332,44.9111,48.1615,46.9762
25/05/2018,37.3503,52.9441,43.5028,47.7492,47.2853
24/05/2018,38.3092,52.5242,43.3723,47.5438,47.2123
23/05/2018,39.6442,51.9965,48.1368,47.4699,47.1744
21/05/2018,39.4223,53.3317,47.5549,47.1517,46.9868
