Underlying Name ,Guangzhou Automobile Group Co Ltd

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
17/08/2018,41.4392,30.7791,34.5975,79.9699,71.3833
16/08/2018,43.4838,30.9604,34.9849,79.9715,71.4926
15/08/2018,41.2090,32.3635,34.1731,79.9634,71.4736
14/08/2018,38.9251,29.2155,32.5839,79.7972,71.4071
13/08/2018,38.4460,31.3430,38.1256,79.9424,73.2988
10/08/2018,37.0187,30.7910,37.8903,79.7675,73.2641
09/08/2018,36.5658,31.6443,37.8896,79.7676,73.5628
08/08/2018,37.2130,35.6945,38.8377,80.0377,73.3794
07/08/2018,36.9110,36.0573,38.9256,80.3787,73.3841
06/08/2018,38.6532,36.2515,38.9206,80.3234,73.3863
03/08/2018,38.5779,36.2412,39.0629,80.3209,73.4002
02/08/2018,39.9735,35.6298,39.2028,80.7511,73.4821
01/08/2018,37.7771,34.3262,38.2776,80.6275,73.4237
31/07/2018,35.0134,33.6597,38.9586,80.4706,73.3287
30/07/2018,37.5655,36.3499,37.6799,80.5714,73.0469
27/07/2018,36.5773,38.3287,38.1028,80.5673,73.0363
26/07/2018,37.3677,38.7347,38.1217,80.7791,72.8846
25/07/2018,35.6696,35.5696,37.3207,80.6257,72.7712
24/07/2018,36.0547,35.8258,36.9849,80.6273,72.9927
23/07/2018,38.2493,36.0338,36.1361,80.3828,72.8370
20/07/2018,36.1082,38.4390,36.2980,80.9017,72.9238
19/07/2018,38.9084,40.3286,36.9199,81.0988,72.9006
18/07/2018,36.6592,37.0376,36.8155,81.0356,73.2677
17/07/2018,38.2136,37.6866,37.0782,81.9809,73.2049
16/07/2018,38.2303,46.2514,107.0049,84.0575,72.7813
13/07/2018,36.8965,46.1002,107.5736,84.0425,72.7616
12/07/2018,38.2263,43.8735,106.8680,83.7580,72.6357
11/07/2018,35.8725,46.3721,106.8741,83.7328,72.6452
10/07/2018,36.4894,46.3937,107.1639,84.0223,72.7252
09/07/2018,37.8178,43.7355,106.4371,83.7783,72.7584
06/07/2018,40.8696,38.3728,105.5978,83.3786,72.4472
05/07/2018,44.1519,38.3360,105.6155,83.5631,72.5027
04/07/2018,47.3093,38.2605,105.6940,83.6221,72.9308
03/07/2018,47.2886,39.4120,105.7404,83.6914,72.9376
29/06/2018,42.6168,27.7497,104.8920,85.5170,72.3404
28/06/2018,39.2074,25.8938,104.6872,85.4983,72.2945
27/06/2018,39.2387,25.2001,104.5937,85.7824,72.7915
26/06/2018,37.3250,24.4722,105.7233,85.5819,72.8086
25/06/2018,38.2984,24.5904,106.5308,85.5915,72.8762
22/06/2018,35.9201,24.1078,106.9188,85.6927,72.8611
21/06/2018,36.0296,21.9711,106.6311,85.5872,73.1600
20/06/2018,36.5269,27.4266,107.5079,85.6608,73.3747
19/06/2018,36.5183,29.0780,107.5144,85.7240,73.6398
15/06/2018,35.3081,28.6415,107.4274,85.6022,73.7002
14/06/2018,36.5727,179.5110,108.0671,85.6239,73.6873
13/06/2018,33.6356,181.8446,108.0228,85.5646,73.7323
12/06/2018,32.4226,182.1358,108.6306,85.4249,73.8919
11/06/2018,34.6094,181.2623,108.5721,85.4305,73.8894
08/06/2018,33.7641,182.2441,108.7687,85.8105,73.8878
07/06/2018,34.2580,182.1644,108.7710,85.7947,73.9030
06/06/2018,35.0456,182.4897,109.5108,85.8736,73.9366
05/06/2018,33.8549,180.6647,109.5898,85.7102,73.8468
04/06/2018,34.6522,180.2574,109.4718,86.1953,73.8164
01/06/2018,34.1815,178.7094,110.8508,86.0510,73.8255
31/05/2018,34.7142,27.3819,49.7343,46.0289,43.6332
30/05/2018,35.1095,23.5135,49.6018,45.8175,43.5903
29/05/2018,35.2743,23.5732,49.5629,46.0119,43.5978
28/05/2018,34.6128,30.9440,49.1895,45.9939,43.5191
25/05/2018,31.4810,34.1023,49.6303,46.0259,43.5926
24/05/2018,33.9887,32.1573,49.5441,46.1688,43.5186
