Underlying Name ,CITIC Securities Co. Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
21/09/2018,32.8047,32.7298,28.8759,26.0404,29.8524
20/09/2018,31.8808,29.0683,26.9133,25.1076,29.3540
19/09/2018,32.4167,29.0319,27.7568,25.8518,31.0993
18/09/2018,32.5744,31.1273,26.9311,25.4386,30.8716
17/09/2018,34.1673,30.1071,26.9277,25.9267,30.7548
14/09/2018,32.2670,30.0561,26.9291,26.1057,30.7587
13/09/2018,33.2486,27.4147,26.3194,27.6938,30.8104
12/09/2018,33.3950,18.6866,27.0869,26.9031,30.4181
11/09/2018,34.7139,18.5761,26.9075,28.7981,30.4151
10/09/2018,35.9112,19.6482,26.8381,30.3595,30.3744
07/09/2018,34.3498,22.9291,25.8301,30.1430,30.2395
06/09/2018,33.5554,23.5104,25.9001,30.2086,31.6799
05/09/2018,33.6602,23.9116,25.9228,30.2957,31.7583
04/09/2018,33.2350,19.0049,24.7865,29.7698,31.3562
03/09/2018,33.4553,22.5373,25.8047,29.9117,31.3863
31/08/2018,32.8550,24.2839,25.8314,30.0472,31.6583
30/08/2018,33.4546,23.7085,26.0294,30.0409,31.6462
29/08/2018,33.9091,22.7465,25.8885,30.1173,31.8978
28/08/2018,34.0710,28.6500,25.8947,30.3734,32.3308
27/08/2018,34.6557,31.3330,25.9047,30.3459,32.3247
24/08/2018,34.6611,29.0809,24.9855,31.2733,32.0105
23/08/2018,35.9825,28.8731,24.6983,31.3504,32.2404
22/08/2018,36.9246,31.5507,25.4013,31.4030,32.1992
21/08/2018,36.5344,31.5951,25.8182,31.5894,32.2525
20/08/2018,38.2004,29.9950,24.9294,31.1399,32.0332
17/08/2018,36.6199,27.6783,25.2396,30.8700,32.0683
16/08/2018,37.3637,27.8022,25.3045,31.1410,32.4952
15/08/2018,33.8024,33.8180,25.3033,31.2145,32.5085
14/08/2018,32.2219,31.1279,23.8546,30.8964,32.0949
13/08/2018,32.1497,29.4619,23.9819,30.7150,32.3384
10/08/2018,28.9865,27.1690,23.1880,30.5437,32.0983
09/08/2018,28.7489,27.2437,23.2106,30.7176,32.2095
08/08/2018,29.1033,23.9500,24.2109,32.8653,32.0131
07/08/2018,29.3717,24.8315,24.1980,32.8802,32.1835
06/08/2018,29.6902,27.0913,25.3371,32.7169,33.1093
03/08/2018,28.9956,27.2723,25.6877,32.7219,33.4309
02/08/2018,30.0176,28.1084,29.4547,33.0300,33.4336
01/08/2018,29.2936,14.8837,26.8835,31.9577,32.6432
31/07/2018,28.9788,14.1798,30.9906,32.0822,32.6437
30/07/2018,29.9589,14.7896,33.9705,32.0942,32.6430
27/07/2018,29.9140,16.8335,34.3451,32.3819,32.6421
26/07/2018,30.7986,16.9174,34.3655,34.3353,32.6911
25/07/2018,30.9811,18.5867,34.5416,34.4047,32.6750
24/07/2018,31.6520,21.4319,34.3089,34.3492,33.2369
23/07/2018,27.5389,18.4089,33.4812,34.0397,33.0938
20/07/2018,27.1672,21.2349,33.6787,34.4077,33.2530
19/07/2018,27.1390,20.7554,33.2658,34.3061,33.4154
18/07/2018,27.3413,20.8437,33.3121,34.6847,34.1791
17/07/2018,27.9824,22.2742,33.6951,35.2748,34.1518
16/07/2018,28.1172,25.9389,33.6828,35.2748,34.4207
13/07/2018,28.7681,26.0527,36.6595,35.1971,34.3913
12/07/2018,29.4033,26.1401,36.8077,35.5982,34.7778
11/07/2018,32.1186,27.6965,35.8043,35.2127,34.6886
10/07/2018,31.9147,27.0130,36.2351,35.1751,34.8524
09/07/2018,36.3217,30.2856,36.1892,35.2211,34.9563
06/07/2018,38.3297,27.9470,35.3483,35.1538,35.0956
05/07/2018,35.2646,34.7644,35.4732,35.7242,35.6432
04/07/2018,34.7254,34.6312,35.7315,35.7512,35.7843
03/07/2018,34.2248,40.7365,36.2580,35.6618,36.1418
29/06/2018,32.2940,44.3740,35.9400,35.9787,36.1109
