Underlying Name ,Swire Pacific Limited 'A'

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
24/09/2018,21.7578,20.0490,21.7187,22.1583,20.1935
21/09/2018,20.6254,15.5536,20.5944,21.7865,19.8501
20/09/2018,20.6333,16.0963,20.6456,21.7341,19.7964
19/09/2018,21.5885,15.1348,20.3791,21.6192,19.7844
18/09/2018,21.7252,25.8065,20.3341,21.7618,20.3354
17/09/2018,22.8048,25.7930,21.7653,21.8377,20.3575
14/09/2018,21.8342,25.7182,21.5537,21.7012,20.2154
13/09/2018,22.6211,25.9605,21.4031,21.4482,20.4389
12/09/2018,24.2857,24.3627,21.3685,21.6314,20.3635
11/09/2018,24.6338,26.1944,21.3277,21.6876,20.5269
10/09/2018,24.7641,26.0649,21.3277,21.6948,20.6751
07/09/2018,24.6436,29.0116,21.2038,21.6252,20.6248
06/09/2018,24.3638,28.9244,21.0989,21.5672,21.2673
05/09/2018,22.9010,29.9999,21.2417,21.5697,21.2608
04/09/2018,21.4659,22.2380,17.4398,19.8496,20.0547
03/09/2018,21.8484,22.0243,17.4400,19.8387,20.1258
31/08/2018,20.2312,21.5392,20.2342,19.8576,20.1319
30/08/2018,19.8084,17.9991,19.1163,19.2055,19.6590
29/08/2018,19.3185,19.2525,19.1098,19.3742,19.9762
28/08/2018,19.9176,18.1939,19.0793,19.2096,19.9372
27/08/2018,19.8358,17.1033,18.7615,19.0935,19.8520
24/08/2018,18.8258,14.4988,18.2689,19.1328,19.7431
23/08/2018,19.1514,15.3058,18.8339,19.2091,19.7537
22/08/2018,18.9571,9.8284,17.7657,18.7100,19.5006
21/08/2018,18.9531,8.4198,19.2442,18.6439,19.5366
20/08/2018,20.0779,13.5399,19.2375,18.6648,19.6017
17/08/2018,19.3357,15.7613,19.2391,18.6896,19.6030
16/08/2018,19.4431,16.2513,19.8325,18.8044,19.5694
15/08/2018,19.5269,17.7807,19.5128,18.6224,19.8367
14/08/2018,18.7503,17.9358,20.3065,18.9279,19.9907
13/08/2018,19.6518,18.0025,22.7796,19.4559,19.9982
10/08/2018,18.6599,17.8381,23.2201,19.5985,20.0744
09/08/2018,18.4941,17.4167,23.0886,19.5012,20.0135
08/08/2018,20.2424,17.7155,23.0861,19.5931,20.0418
07/08/2018,20.2913,18.4322,23.4325,20.4220,20.2502
06/08/2018,19.7185,13.8958,22.2452,19.7948,19.7586
03/08/2018,19.5024,22.3386,22.1749,19.6896,19.7043
02/08/2018,20.1881,22.7976,21.7987,20.1045,19.5828
01/08/2018,19.7939,21.9150,22.2537,19.9509,19.5521
31/07/2018,19.5581,22.6216,22.3831,20.2227,19.5901
30/07/2018,19.7194,22.6318,22.3917,20.4662,19.6380
27/07/2018,19.3951,23.1295,22.3952,20.4809,19.7065
26/07/2018,19.7751,24.3647,22.3866,21.4992,19.6907
25/07/2018,20.1990,23.8200,22.2463,21.4401,19.6645
24/07/2018,21.0771,24.7172,21.9843,21.3330,19.7896
23/07/2018,21.6119,24.7137,21.9812,21.4302,19.9211
20/07/2018,18.8724,18.9033,19.8138,20.2508,19.1900
19/07/2018,20.2885,19.6788,19.4882,20.0353,19.0925
18/07/2018,20.6988,19.5998,19.8735,20.4768,19.1047
17/07/2018,20.3636,21.1806,19.6532,20.4996,19.1523
16/07/2018,21.0556,28.7687,19.6912,20.5035,19.3108
13/07/2018,20.9979,29.0760,20.2598,20.5593,19.2335
12/07/2018,20.8430,28.4030,19.8994,20.3457,19.0815
11/07/2018,21.5976,28.4174,19.9025,20.4147,19.0841
10/07/2018,19.5633,26.0535,18.3170,19.8355,19.0229
09/07/2018,20.1608,26.6709,18.3781,19.9298,19.3105
06/07/2018,20.4866,26.9182,18.4075,19.9327,19.3252
05/07/2018,20.9276,24.8669,18.0560,19.5652,19.0824
04/07/2018,21.4796,26.7642,18.0113,20.1577,19.1806
03/07/2018,19.9522,24.6394,17.5239,19.9956,18.8700
