Underlying Name ,Cheung Kong Property Holdings Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
26/09/2018,24.6230,26.8138,28.8307,22.9990,20.4344
24/09/2018,25.5477,26.7339,28.8647,22.9926,20.5205
21/09/2018,24.9666,27.4753,28.5363,22.6844,20.2985
20/09/2018,24.1429,27.9093,28.4903,22.6392,20.5581
19/09/2018,24.3487,26.2982,28.2641,22.7438,20.7732
18/09/2018,24.9719,33.3632,28.0911,22.6495,20.8941
17/09/2018,27.1642,39.7438,28.1535,22.8733,20.8920
14/09/2018,25.5416,40.4555,28.1633,22.6931,20.7688
13/09/2018,24.1778,39.3075,26.8720,21.7235,20.2723
12/09/2018,22.1989,34.8274,25.5043,20.3633,19.2276
11/09/2018,22.7234,36.3597,25.4676,20.7784,19.2978
10/09/2018,23.0507,36.1848,25.1840,20.6142,19.2215
07/09/2018,21.0493,35.2071,24.6514,20.2732,18.9583
06/09/2018,21.0710,36.0624,24.7333,20.3041,19.1916
05/09/2018,19.7377,38.3595,24.8193,20.4638,19.2005
04/09/2018,16.9420,33.2619,23.5294,19.4336,18.4702
03/09/2018,17.7630,23.6544,18.6960,16.6681,16.5541
31/08/2018,17.5134,23.5159,18.6332,16.6491,16.5795
30/08/2018,17.1972,21.8740,18.2974,16.5263,16.4494
29/08/2018,17.1121,19.6277,17.8160,16.3785,16.2808
28/08/2018,17.3887,22.1132,16.8736,16.1929,15.9509
27/08/2018,17.5010,21.6423,16.8067,16.0870,16.2385
24/08/2018,17.0320,20.5683,16.0950,15.8817,16.0845
23/08/2018,16.8456,16.9221,14.8369,15.4221,15.7968
22/08/2018,16.5119,14.0842,13.7491,14.8748,15.4699
21/08/2018,16.3101,13.7015,13.4816,14.8691,15.4369
20/08/2018,18.2893,14.9555,13.9214,14.8621,15.4850
17/08/2018,17.7972,14.2008,14.4931,14.7366,15.4187
16/08/2018,17.6740,14.2800,14.5906,14.7363,15.4570
15/08/2018,18.5014,17.5421,14.6148,14.9215,15.6021
14/08/2018,16.1909,15.5507,14.6611,14.3132,15.2253
13/08/2018,16.9045,15.5319,14.7481,14.4812,15.2350
10/08/2018,15.3557,15.7027,14.4410,14.3225,15.1864
09/08/2018,15.0227,15.8416,14.4440,14.8925,15.2952
08/08/2018,15.7319,16.5530,14.9361,15.5653,15.3002
07/08/2018,16.1021,18.9918,15.1275,16.0664,15.2876
06/08/2018,15.5074,18.1447,15.2473,15.9215,15.3204
03/08/2018,15.8618,17.7501,15.1237,15.8673,15.7818
02/08/2018,18.7080,17.6592,15.0486,16.2145,15.7829
01/08/2018,19.8327,11.8106,13.8928,15.4012,15.2319
31/07/2018,19.3169,11.8576,15.1530,15.5688,15.2448
30/07/2018,18.3877,13.0184,15.1730,15.6310,15.2481
27/07/2018,18.1366,12.6651,15.0657,15.6034,15.3871
26/07/2018,17.7235,12.1130,15.0386,15.9499,15.3507
25/07/2018,19.2616,11.6071,15.3339,15.9117,15.3522
24/07/2018,19.5962,5.0964,14.2222,15.5157,15.3379
23/07/2018,19.5587,8.2715,14.5175,15.5425,15.3988
20/07/2018,18.9999,12.3338,14.5653,15.6196,15.5879
19/07/2018,19.1431,12.2078,14.7297,15.6077,15.6316
18/07/2018,18.6636,12.2145,14.9525,15.6076,15.7385
17/07/2018,17.7182,16.6458,15.7512,15.6156,16.3617
16/07/2018,18.4343,16.1830,15.6137,16.0478,16.4250
13/07/2018,17.0069,16.1293,15.8442,16.0963,16.7623
12/07/2018,17.3732,16.1855,16.0875,16.1862,16.7641
11/07/2018,18.5173,17.5832,16.0810,16.2318,16.7602
10/07/2018,17.7599,18.1238,16.2520,16.1993,16.8410
09/07/2018,19.3828,18.7072,15.9544,16.1563,16.8681
06/07/2018,20.3367,15.9477,15.2213,15.8631,16.8804
05/07/2018,21.7955,15.3992,15.1296,15.8904,16.8703
04/07/2018,22.6951,17.2573,15.4717,16.0793,16.9964
