Underlying Name ,China Merchants Bank Co., Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
26/09/2018,31.1972,33.4732,29.3346,30.0541,28.6801
24/09/2018,30.2588,35.7630,29.3699,30.2120,28.6644
21/09/2018,29.5643,34.0133,29.9517,30.5753,28.5117
20/09/2018,28.6388,26.4692,26.4834,29.0316,27.2795
19/09/2018,28.9003,26.1676,26.5627,29.6903,27.1718
18/09/2018,28.1067,25.6078,25.0477,29.2032,26.9229
17/09/2018,29.8787,26.2561,25.5396,29.2254,27.0423
14/09/2018,28.7877,26.3630,25.5404,29.2539,27.0673
13/09/2018,31.0335,25.6016,25.4345,29.2945,27.3003
12/09/2018,31.2858,17.5683,25.1982,28.6491,26.8857
11/09/2018,32.1928,17.8741,25.1144,29.2152,26.9396
10/09/2018,33.7372,21.0238,24.8140,29.0959,27.0291
07/09/2018,33.0014,31.0668,24.7001,29.0586,27.2180
06/09/2018,32.1790,30.8818,24.9679,29.1792,28.9334
05/09/2018,31.4062,30.4389,25.0055,29.1279,29.0041
04/09/2018,30.3751,24.6467,23.5473,28.4353,28.6342
03/09/2018,30.7323,24.4783,26.1867,28.7869,28.6377
31/08/2018,31.0140,24.3883,26.7109,29.0335,29.2334
30/08/2018,30.2739,23.7487,28.9801,29.0241,29.2609
29/08/2018,30.5087,20.5595,28.4610,28.8554,29.4513
28/08/2018,31.3160,25.8510,28.4684,29.3358,29.5293
27/08/2018,31.9513,27.6183,28.5468,29.1600,29.7265
24/08/2018,27.5891,22.1907,26.3395,27.9338,28.9627
23/08/2018,26.6324,22.1968,26.3984,28.0494,29.8403
22/08/2018,26.7119,25.1736,26.6328,28.2196,29.8396
21/08/2018,26.6014,24.3443,26.9967,28.1052,29.7938
20/08/2018,29.4364,26.1969,27.0705,28.1354,29.9260
17/08/2018,29.4370,25.8810,28.7512,28.0662,31.7220
16/08/2018,32.7660,25.3406,28.7145,28.3695,31.7291
15/08/2018,34.7124,28.4224,28.7101,28.4231,31.7442
14/08/2018,31.6040,26.6765,31.1897,28.1704,32.3182
13/08/2018,33.4104,25.8782,31.5227,28.2981,32.3504
10/08/2018,31.4254,22.0835,31.6479,27.8269,32.0561
09/08/2018,32.0136,22.3670,31.5633,27.8475,32.4284
08/08/2018,28.7553,20.8297,32.9141,27.6413,32.4101
07/08/2018,29.5219,21.8079,33.1906,28.0112,32.4051
06/08/2018,30.1861,29.2368,32.9289,27.9548,32.8138
03/08/2018,28.9116,30.6183,32.9956,27.9818,32.8125
02/08/2018,33.2170,36.0968,33.1513,28.3867,32.8264
01/08/2018,29.5141,30.5132,32.0003,27.8453,32.4911
31/07/2018,28.5630,30.1117,33.1791,27.9758,32.5901
30/07/2018,32.1779,31.5357,33.2402,28.2666,32.8048
27/07/2018,31.4365,31.6453,33.2659,28.5929,32.7845
26/07/2018,31.2770,31.6061,33.2929,30.9231,32.7453
25/07/2018,30.9041,29.7390,33.1788,30.9993,32.7020
24/07/2018,30.9524,32.6265,32.9470,31.0391,32.7600
23/07/2018,28.2380,27.2287,31.0658,29.8818,32.0527
20/07/2018,27.7483,30.4927,30.9201,30.4837,31.9107
19/07/2018,24.6880,23.5705,27.7792,29.1791,31.2880
18/07/2018,25.5274,23.3489,27.7837,29.5738,31.8601
17/07/2018,26.6127,34.4171,29.1603,29.7375,31.8846
16/07/2018,25.9456,35.8265,29.1096,30.2203,32.0779
13/07/2018,24.8694,39.9322,29.3580,30.2638,32.0828
12/07/2018,26.9094,40.0063,29.3022,31.3901,32.3595
11/07/2018,29.1871,42.3173,28.9311,31.1784,32.4328
10/07/2018,27.1954,42.1501,28.8044,31.0857,32.3565
09/07/2018,33.1547,41.4910,28.5498,31.2452,32.8228
06/07/2018,34.0477,34.6153,25.8387,33.0698,32.2434
05/07/2018,36.3583,34.1066,26.2617,33.1376,32.3974
04/07/2018,34.2227,33.5095,26.4187,33.1599,32.7107
